,efficiency,has_sleep_data,com.samsung.health.sleep.datauuid,quality,com.samsung.health.sleep.custom,com.samsung.health.sleep.end_time,original_wake_up_time,com.samsung.health.sleep.start_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.update_time,original_bed_time,com.samsung.health.sleep.create_time,original_efficiency
138,0.0,1.0,78d01a70-9f6d-3a94-505a-dfc6bdb18ed2,,,1514955900000,,1514955300000,UTC-0400,1514956788280,,1514956788280,
139,88.324875,1.0,7919c073-d764-a39b-cf03-a16170942182,,,1524736320000,,1524724560000,UTC-0300,1524736493928,,1524736493928,
140,91.847824,1.0,7af75fc7-c3c5-f265-d10d-bfd64b5fb9f4,,,1527413340000,,1527391320000,UTC-0300,1527414238296,,1527414238296,
141,92.85714,1.0,7c4d83c0-a415-978c-5518-487de22bb0e6,,,1528538640000,,1528514340000,UTC-0300,1528538767351,,1528538767351,
142,95.4984,1.0,7c5bde20-37fc-e8db-4688-dddd29f0af06,,,1521277560000,,1521258960000,UTC-0300,1521277895010,,1521277895010,
143,95.945946,1.0,7c701a40-4bb2-932b-c664-5e211bf1e815,,,1518290340000,,1518281520000,UTC-0400,1518291231280,,1518291231280,
144,85.26315,1.0,7c7970d9-e76a-bb03-fd36-6a8286852810,,,1530530400000,,1530501960000,UTC-0300,1530530793451,,1530530793451,
145,94.291756,1.0,7d0e7e5b-5421-dfe8-6f4d-8a7cf19c68f0,50004.0,,1517742540000,1.51774254e+12,1517714220000,UTC-0400,1517744301946,1.51771422e+12,1517743231660,94.291756
146,92.07048,1.0,7f604ded-986d-2294-aafa-df5303447b77,,,1523960700000,,1523933520000,UTC-0300,1523960794614,,1523960794614,
147,95.09804,1.0,7f823e3e-609a-3a82-f972-28bd72ac3a62,50003.0,,1517650320000,1.51765032e+12,1517625900000,UTC-0400,1517651295220,1.5176259e+12,1517650393816,95.09804
148,94.1691,1.0,7fcbbb49-6408-7a2e-1164-10d4b2b1e21f,,,1524301200000,,1524280680000,UTC-0300,1524301327605,,1524301327605,
149,92.656586,1.0,81441feb-8762-ef69-65f4-e42b0c1cf435,50003.0,,1516532940000,1.51653294e+12,1516505220000,UTC-0400,1516540083027,1.51650522e+12,1516533851322,92.656586
150,93.45795,1.0,8176fbbf-62b4-a137-6a9d-7aa98f4bd93f,,,1530874320000,,1530842280000,UTC-0300,1530874437562,,1530874437562,
151,91.876755,1.0,81fb30f4-3641-af72-0c7c-78abeac8e6cf,,,1530782520000,,1530761160000,UTC-0300,1530783403270,,1530783403270,
152,93.548386,1.0,8434ce20-0ab9-2753-02f7-c7b90c71bbbe,,,1529732820000,,1529719860000,UTC-0300,1529733720258,,1529733720258,
153,90.96154,1.0,87086237-8763-1ed4-0a53-02c92d6ac1aa,,,1528026240000,,1527995100000,UTC-0300,1528026406193,,1528026406193,
154,92.484344,1.0,886a4460-7dc3-4695-6007-08eec2b195b0,,,1525947360000,,1525918680000,UTC-0300,1525947496028,,1525947496028,
155,93.069305,1.0,89154243-5ac5-a191-7635-bfb72d2532a8,,,1525342380000,,1525336380000,UTC-0300,1525342581450,,1525342581450,
156,0.0,,8a774fff-3766-42ac-bbad-7a75dc508661,50002.0,,1525593000000,,1525582200000,UTC-0300,1525738765861,,1525738765861,
157,82.608696,1.0,8d71859f-edec-23ae-ec48-f8bd0d016bfa,,,1523876100000,,1523874780000,UTC-0300,1523876982283,,1523876982283,
158,93.52679,1.0,8d7eb7c2-e145-b3c6-eeee-4f9433c42cb9,,,1522317180000,,1522290360000,UTC-0300,1522317258349,,1522317258349,
159,89.15663,1.0,8dc45884-9243-60ca-5646-262a2860b301,,,1523692320000,,1523672460000,UTC-0300,1523693237344,,1523693237344,
160,0.0,1.0,8de7476d-fca9-cc01-54e2-80b862e7aae2,,,1517222280000,,1517221380000,UTC-0400,1517223184278,,1517223184278,
161,94.67456,1.0,8e358090-9995-b9d7-8a42-4c3d8838c0e3,,,1523172180000,,1523151960000,UTC-0300,1523172266822,,1523172266822,
162,93.7788,1.0,8e4e20d2-8eda-4afd-4db0-4804bfbd02de,,,1521455340000,,1521429360000,UTC-0300,1521455408348,,1521455408348,
163,93.02326,1.0,901f23c7-2fb6-7f4a-fa4c-bd3f1666ca13,,,1522923780000,,1522895460000,UTC-0300,1522923902043,,1522923902043,
164,91.45728,1.0,90acfb9c-942b-daa9-076d-6b20ac8f579d,,,1524130860000,,1524107040000,UTC-0300,1524131027594,,1524131027594,
165,91.49425,1.0,90e1c31b-e59d-c74e-f7c1-da5983e92f48,,,1524563280000,,1524537240000,UTC-0300,1524563350878,,1524563350878,
166,85.75581,1.0,912507db-4707-39d7-672a-fea5e59c37fe,,,1529837220000,,1529816640000,UTC-0300,1529838103288,,1529838103288,
167,93.18885,1.0,93405262-d282-f3a6-f4a9-4ea1a6ad946f,,,1514041800000,,1514022480000,UTC-0700,1514042703272,,1514042703272,
168,92.952385,1.0,942051e3-083c-9b37-91a8-0757441e2b17,,,1514650140000,,1514618700000,UTC-0700,1514650268703,,1514650268703,
169,89.779564,1.0,9515253e-b47e-1e8b-32ae-e4bcd4cb9a92,,,1532602800000,,1532572860000,UTC-0300,1532602836902,,1532602836902,
170,88.2353,1.0,95cbe4fd-9491-cb5b-f051-cd2a225c68d5,,,1529789280000,,1529783220000,UTC-0300,1529790111577,,1529790111577,
171,89.39096,1.0,96b675a6-16a0-da60-855d-da0b21d7c3de,,,1531569900000,,1531539420000,UTC-0300,1531570027494,,1531570027494,
172,95.42334,1.0,97b4f037-c747-81dd-b639-219790b81e67,,,1528278660000,,1528251660000,UTC-0300,1528278730022,,1528278730022,
